task_id,setting,condition,generated_path_index,initial_noise_index,round,candidate_in_round,memory_size_before_round,predicted_cost,rollout_error,is_min_cost,is_min_rollout_error
5,64x1,experience_off,1,1,1,1,0,-0.3784886598587036,0.16304120421409607,False,False
5,64x1,experience_off,2,2,1,2,0,-0.38411104679107666,0.301296591758728,False,False
5,64x1,experience_off,3,3,1,3,0,-0.3839298486709595,0.4132000207901001,False,False
5,64x1,experience_off,4,4,1,4,0,-0.3730316162109375,0.23855185508728027,False,False
5,64x1,experience_off,5,5,1,5,0,-0.39026975631713867,0.16027161478996277,False,False
5,64x1,experience_off,6,6,1,6,0,-0.39180541038513184,0.1649264544248581,False,False
5,64x1,experience_off,7,7,1,7,0,-0.38720959424972534,0.33562466502189636,False,False
5,64x1,experience_off,8,8,1,8,0,-0.3912649154663086,0.03046872839331627,False,True
5,64x1,experience_off,9,9,1,9,0,-0.39768537878990173,0.06877180933952332,True,False
5,64x1,experience_off,10,10,1,10,0,-0.37431418895721436,0.3086733818054199,False,False
5,64x1,experience_off,11,11,1,11,0,-0.3735029101371765,0.3963598906993866,False,False
5,64x1,experience_off,12,12,1,12,0,-0.38823580741882324,0.45468443632125854,False,False
5,64x1,experience_off,13,13,1,13,0,-0.38519561290740967,0.36060279607772827,False,False
5,64x1,experience_off,14,14,1,14,0,-0.38949209451675415,0.12727224826812744,False,False
5,64x1,experience_off,15,15,1,15,0,-0.38576021790504456,0.40160006284713745,False,False
5,64x1,experience_off,16,16,1,16,0,-0.38956567645072937,0.12598463892936707,False,False
5,64x1,experience_off,17,17,1,17,0,-0.38049155473709106,0.35086938738822937,False,False
5,64x1,experience_off,18,18,1,18,0,-0.38616976141929626,0.268623411655426,False,False
5,64x1,experience_off,19,19,1,19,0,-0.38417142629623413,0.2311290204524994,False,False
5,64x1,experience_off,20,20,1,20,0,-0.3796129822731018,0.15332016348838806,False,False
5,64x1,experience_off,21,21,1,21,0,-0.3767297863960266,0.12927107512950897,False,False
5,64x1,experience_off,22,22,1,22,0,-0.38878390192985535,0.6912140250205994,False,False
5,64x1,experience_off,23,23,1,23,0,-0.38802579045295715,0.22005516290664673,False,False
5,64x1,experience_off,24,24,1,24,0,-0.38489753007888794,0.12807756662368774,False,False
5,64x1,experience_off,25,25,1,25,0,-0.37326186895370483,0.3384140133857727,False,False
5,64x1,experience_off,26,26,1,26,0,-0.39094603061676025,0.09345939755439758,False,False
5,64x1,experience_off,27,27,1,27,0,-0.3847544193267822,0.25132879614830017,False,False
5,64x1,experience_off,28,28,1,28,0,-0.380024790763855,0.09280923008918762,False,False
